question_id,question_text,priority,pattern_id,pattern_name,solving_formula,notes
53,"As a PM at Slack, how would you redesign the product to enter the education sector?",🟢,P2,NSM + KPI Ladder,"Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard","Market expansion; education sector pivot"
54,"As a PM at Uber in 2015, how would you decide whether to implement cash payments?",🟢,P7,Tradeoff Framing,"Define Options → Winners/Losers → Guardrails → Decide + Communicate","Payment method tradeoff; emerging market consideration"
55,"As a PM at Uber, what key metrics would you track to measure its success in a new city?",🟢,P2,NSM + KPI Ladder,"Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard","New market metrics; city launch"
56,"As a PM at Zomato, how would you decide if Zomato should integrate with Amazon Alexa?",🟢,P7,Tradeoff Framing,"Define Options → Winners/Losers → Guardrails → Decide + Communicate","Integration decision; voice platform"
57,"As a PM for a gaming console, why would you decide to build the next-generation console, and how would you measure its success?",🟢,P2,NSM + KPI Ladder,"Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard","Product strategy + success metrics"
58,"As a PM for an automotive company interested in exploring the generative AI space, how would you evaluate whether this technology is suitable and beneficial for the business?",🟢,P7,Tradeoff Framing,"Define Options → Winners/Losers → Guardrails → Decide + Communicate","Technology evaluation; AI adoption decision"
59,"As a PM for an elevator company, how would you design new features to adapt your elevators for skyscrapers, distinguishing them from competitors?",🟢,P2,NSM + KPI Ladder,"Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard","Product differentiation; competitive positioning"
60,"As a PM for autonomous land-based vehicles at Google, how would you decide on the next market segment and geography? Assume Waymo does not exist.",🟢,P5,Segmentation,"(Persona × Behavior × Value) → Rank → Focus Top Segments","Market segmentation; geographic expansion"
61,"As a PM for Instacart, what potential issues do you foresee after a customer places an order?",🟡,L11,Risk Mitigation,"Enumerate Risks → Blast Radius → Mitigations → Monitor","Risk enumeration; operational issues"
62,"As a PM for Instagram Shops, how would you increase the number of transactions?",🟢,P1,Metric Drop Diagnosis,"Clarify Metric → Segment → Hypothesize → Data Check → Action","Growth question; increase transactions"
63,"As a PM for Instagram stories, how would you set the goal for the team?",🟢,P2,NSM + KPI Ladder,"Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard","Team goal setting; success metrics"
64,"As a PM for Jio Mart, how would you pilot drone delivery?",🟢,P8,Experiment Design,"Hypothesis → Metric → Design → Run → Validate → Decide","Pilot program; experiment design"
65,"As a PM for JPMorgan Chase's Payments Developer Portal, design a new feature to improve customer adoption.",🟢,P2,NSM + KPI Ladder,"Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard","Feature design; adoption focus"
66,"As a PM for Mastercard, design a product for restaurants to switch to a purchase order system that reduces labor costs.",🟢,P2,NSM + KPI Ladder,"Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard","B2B product design; cost reduction"
67,"As a PM for Meta, how would you measure the success of launching a job marketplace?",🟢,P2,NSM + KPI Ladder,"Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard","New product launch metrics"
68,"As a PM for Netflix, how would you increase watch time on TVs?",🟢,P1,Metric Drop Diagnosis,"Clarify Metric → Segment → Hypothesize → Data Check → Action","Growth question; increase watch time"
69,"As a PM for Spotify Podcasts, what success metrics would you define? If engagement on Spotify Music is down while engagement on Spotify Podcasts is up, what actions would you take?",🟢,P1,Metric Drop Diagnosis,"Clarify Metric → Segment → Hypothesize → Data Check → Action","Metric definition + tradeoff analysis; cannibalization"
70,"As a PM for the health team at Meta, design a product for tissue donation.",🟢,P2,NSM + KPI Ladder,"Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard","Product design; healthcare focus"
71,"As a PM for TikTok, design the user journey for third-party services (e.g., restaurants and shops) integrated into the app.",🟢,P2,NSM + KPI Ladder,"Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard","User journey design; third-party integration"
72,"As a PM for Uber when it was a ride-hailing app, would you expand into Uber Eats?",🟢,P7,Tradeoff Framing,"Define Options → Winners/Losers → Guardrails → Decide + Communicate","Market expansion decision; strategic tradeoff"
73,"As a PM for Zepto, how would you develop a strategy to increase the average order value per user?",🟡,L9,Financial Sensitivity,"Levers (Price, Volume, Churn) → Impact → Prioritize","AOV increase; revenue optimization"
74,"As a PM, how do you work with users?",🟢,P11,Stakeholder Alignment,"Understand Incentives → Address Concerns → Build Coalition → Decide","User collaboration; general PM practice"
75,"As a PM, how do you work with your engineering team?",🟢,P11,Stakeholder Alignment,"Understand Incentives → Address Concerns → Build Coalition → Decide","Cross-functional collaboration; engineering partnership"
76,"As a PM, how would you name conference rooms for a new office so newcomers can easily navigate?",🟡,L10,Process Optimization,"Map Workflow → Identify Bottlenecks → Optimize → Measure","Wayfinding problem; process design"
77,"As a Product Manager at Clipboard Health, how would you adjust Lyft's driver payments to maximize net revenue over 12 months?",🟡,L9,Financial Sensitivity,"Levers (Price, Volume, Churn) → Impact → Prioritize","Pricing optimization; revenue maximization"
78,"As a product manager at OpenAI, build an enterprise product.",🟢,P2,NSM + KPI Ladder,"Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard","Enterprise product design"
79,"As a Product Manager at TikTok, how would you address user concerns regarding the platform's algorithms being excessively addictive?",🟢,P7,Tradeoff Framing,"Define Options → Winners/Losers → Guardrails → Decide + Communicate","User wellbeing vs engagement tradeoff"
80,"As a Product Manager for a calendar application working on better error handling, how would you prepare this user story for the backlog? 'As a user, I want to see when my changes haven't been synch...",🟢,P12,Operational Excellence,"Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor","User story writing; error handling feature"
81,"As a product manager for a meditation app for kids with a 3 to 5 star average rating in the Play Store, how would you improve that rating?",🟢,P1,Metric Drop Diagnosis,"Clarify Metric → Segment → Hypothesize → Data Check → Action","Rating improvement; app store optimization"
82,"As a Product Manager for Clickup, analyze the scenario of low return rate of new users and propose solutions to improve metrics such as return rate, average new user sign-up, and daily average usag...",🟢,P4,Cohort / Retention / Churn,"Define Cohorts → Measure Retention → Identify Churn Drivers → Hypothesize → Fix","Retention problem; new user churn"
83,"As a product manager for Meta, design a product for volunteers.",🟢,P2,NSM + KPI Ladder,"Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard","Product design; volunteer platform"
84,"As a Product Manager for Meta, what product would you create to address climate change?",🟢,P2,NSM + KPI Ladder,"Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard","Product design; climate focus"
85,"As a product manager for Uber Eats, what goals do you set?",🟢,P2,NSM + KPI Ladder,"Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard","Goal setting; team alignment"
86,"As a product manager ready for launch, what is a good go-to-market strategy?",🟢,P12,Operational Excellence,"Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor","GTM strategy; launch planning"
87,"As a Product Manager, how would you measure the success of Toshiba's self-checkout systems used by millions of grocery store shoppers daily?",🟢,P2,NSM + KPI Ladder,"Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard","Success metrics; self-checkout systems"
88,"As a product manager, what KPIs matter most to you?",🟢,P2,NSM + KPI Ladder,"Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard","KPI definition; general PM practice"
89,"As a product marketing manager, how would you launch the new waitlist appointment feature for a salon? What process would you follow?",🟢,P12,Operational Excellence,"Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor","Feature launch; GTM execution"
90,"As a TPM, how would you handle a project with unchanged deliverables but a cut in the time period by half?",🟢,P6,Prioritization,"Impact × Confidence × Ease → RICE Score → Decide + Communicate","Resource constraint; timeline compression"
91,"As a VC offering you $20M to build any technology-enabled product/service, how would you get started?",🟢,P9,Decision Under Uncertainty,"Clarify Assumptions → Identify Risks → Validation Plan → Decide","Startup ideation; market opportunity"
92,"As a YouTube PM, how would you evaluate the suggestion to develop a tool for content creators to generate ideas with scripts automatically?",🟢,P6,Prioritization,"Impact × Confidence × Ease → RICE Score → Decide + Communicate","Feature evaluation; creator tools"
93,"As an Admin, what key metrics would you consider crucial for evaluating Uber's success in a newly launched city?",🟢,P2,NSM + KPI Ladder,"Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard","New market metrics; city launch"
94,"As an OpenTable PM, how would you prioritize improving the worst post-reservation experiences?",🟢,P6,Prioritization,"Impact × Confidence × Ease → RICE Score → Decide + Communicate","Prioritization; post-reservation UX"
95,"As an Uber PM, how would you increase revenue for Uber?",🟡,L9,Financial Sensitivity,"Levers (Price, Volume, Churn) → Impact → Prioritize","Revenue growth strategy"
96,"As Google, how would you disrupt the movie industry?",🟢,P2,NSM + KPI Ladder,"Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard","Market disruption; strategic product"
97,"As part of the Netflix PM team, how would we investigate the issue of one million active subscribers not logging into the platform?",🟢,P4,Cohort / Retention / Churn,"Define Cohorts → Measure Retention → Identify Churn Drivers → Hypothesize → Fix","Engagement drop; inactive users"
98,"As part of the Netflix PM team, how would you investigate the issue of 1 million inactive but paying users?",🟢,P4,Cohort / Retention / Churn,"Define Cohorts → Measure Retention → Identify Churn Drivers → Hypothesize → Fix","Retention problem; paying but not using"
99,"As part of the Udemy product team, write 2 to 3 agile user stories for a new feature allowing learners to submit and view short videos under 2 minutes in courses.",🟢,P12,Operational Excellence,"Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor","User story writing; feature specification"
100,"As Robinhood, how would you disrupt the mortgage industry?",🟢,P2,NSM + KPI Ladder,"Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard","Market disruption; fintech strategy"
