question_id,question_text,priority,pattern_id,pattern_name,solving_formula,notes
2705,You were hired by an airline consortium to improve the perception of air travel. What would you do with a budget of $10M in one year?,🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,Operational question
2706,"You work at SFO airport, and the CEO asks you to improve the experience from car drop-off to boarding the plane. What's one recommendation you would make?",🟢,P3,Funnel Analysis,Define Funnel → Drop-off → Diagnose Friction → Test Fix,Funnel analysis
2707,"You work at Swiggy (3-sided marketplace - consumer, rider, restaurant). How would you create a tool to enable restaurants to create and fund their own promotional offers (% discounts, etc.) on Swiggy?",🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,Operational question
2708,You're a financial security product PM. How would you use AI to enhance security across banking systems?,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Product design
2709,You're a Google Ads PM. What metrics would you use to measure the success of Google Ads?,🟢,P2,NSM + KPI Ladder,Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard,Metrics definition
2710,You're a growth PM for Chrome Browser. Design a 3-year strategy for the browser.,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Product design
2711,You're a leader at DoorDash. What should DoorDash build next?,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Product design
2712,You're a leader at Google and they've built a bridge from Africa to the United States. What should Google do next?,🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,General question
2713,"You're a PM at a big tech company. You have a product launch in one week, however, the legal team just flagged 100+ potential issues. What would you do?",🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Product design
2714,You're a PM at a company focused on the grocery shopping experience. How would you build a grocery shopping experience for a couple?,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Product design
2715,You're a PM at a food delivery app where conversion rates have declined over the past week. How would you investigate the causes? (Conversion: From users browsing to placing orders.),🟢,P3,Funnel Analysis,Define Funnel → Drop-off → Diagnose Friction → Test Fix,Funnel analysis
2716,"You're a PM at a pharma company; your product helps cows produce 20% more milk, lasting a month. What pricing strategy and price would you set for the product?",🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Product design
2717,You're a PM at a SaaS startup. What are the key requirements for integrating with Google Cloud Marketplace?,🟡,L8,Market Analysis,Competitors → Differentiation → Market Conditions → Strategy,Market analysis
2718,"You're a PM at a Tech Startup focused on food delivery for companies, what would you design?",🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Product design
