question_id,question_text,priority,pattern_id,pattern_name,solving_formula,notes
2001,"Tell me about a time when you used data to convince stakeholders.",🟢,P10,Executive Communication,"Context → Insight → Recommendation → Next Steps","Data persuasion; behavioral question"
2002,"Tell me about a time when you used data to persuade higher leadership to change a decision they had already made.",🟢,P10,Executive Communication,"Context → Insight → Recommendation → Next Steps","Leadership persuasion; behavioral question"
2003,"Tell me about a time when you welcomed new ways of thinking (Include and Empower core value).",🟢,P11,Stakeholder Alignment,"Understand Incentives → Address Concerns → Build Coalition → Decide","Open-mindedness; behavioral question"
2004,"Tell me about a time when you went above and beyond for a customer.",🟢,P12,Operational Excellence,"Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor","Customer service; behavioral question"
2005,"Tell me about a time when you went above and beyond your job description.",🟢,P12,Operational Excellence,"Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor","Going beyond; behavioral question"
2006,"Tell me about a time when you were creative.",🟢,P12,Operational Excellence,"Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor","Creativity; behavioral question"
2007,"Tell me about a time when you were forced to prioritize multiple projects.",🟢,P6,Prioritization,"Impact × Confidence × Ease → RICE Score → Decide + Communicate","Multi-project prioritization; behavioral question"
2008,"Tell me about a time when you were involved in system architecture. What components were involved and what was your role?",🟡,L14,System Design (Conceptual),"Components → Data Flow → Boundaries → Scale Considerations","System architecture; behavioral question"
2009,"Tell me about a time when you were more proactive than others.",🟢,P12,Operational Excellence,"Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor","Proactivity; behavioral question"
2010,"Tell me about a time when you were surprised during your work as a data product manager.",🟢,P1,Metric Drop Diagnosis,"Metric → Segment → Hypothesis → Data Check → Action","Surprise; behavioral question"
2011,"Tell me about a time when you were unable to launch your product on schedule.",🟢,P12,Operational Excellence,"Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor","Schedule failure; behavioral question"
2012,"Tell me about a time when you were unhappy in your job.",🟢,P12,Operational Excellence,"Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor","Job dissatisfaction; behavioral question"
2013,"Tell me about a time when you were working on a project but discovered an opportunity to do something bigger and better. Did you pursue it and what was the outcome?",🟢,P12,Operational Excellence,"Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor","Opportunity discovery; behavioral question"
2014,"Tell me about a time when you worked on a project with a tight deadline.",🟢,P12,Operational Excellence,"Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor","Tight deadline; behavioral question"
2015,"Tell me about a time when you worked on a team and demonstrated leadership.",🟢,P11,Stakeholder Alignment,"Understand Incentives → Address Concerns → Build Coalition → Decide","Team leadership; behavioral question"
2016,"Tell me about a time when you worked on something you were passionate about.",🟢,P12,Operational Excellence,"Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor","Passion; behavioral question"
