question_id,question_text,priority,pattern_id,pattern_name,solving_formula,notes
2805,"You're a PM for Instagram Reels. Would you prefer having 100 reels with 1M views each or 1M reels with 100 views each, and why?",🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,Operational question
2806,You're a PM for Instagram. Improve friend group dynamics and how friends socialize.,🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,General question
2807,You're a PM for Instagram. You notice the Month-on-Month retention is down by 20%. What might be happening?,🟢,P3,Funnel Analysis,Define Funnel → Drop-off → Diagnose Friction → Test Fix,Funnel analysis
2808,"You're a PM for JP Morgan Chase. Define OKRs, strategy, and goals for a new DevSecOps platform.",🟢,P2,NSM + KPI Ladder,Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard,Metrics definition
2809,You're a PM for Lyft. How would you improve ride quality?,🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,Operational question
2810,You're a PM for Maps. What product would you build in Maps specifically for farmers?,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Product design
2811,"You're a PM for Max, HBO's video streaming service. Roku wants to include an HBO button on their new remote control. How much should HBO pay for this feature?",🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Product design
2812,You're a PM for Meta releasing a new Jobs feature in 2 weeks. How will you measure the success of this product in the short and long term?,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Product design
2813,You're a PM for Meta's Payments Platform. How would you improve the platform and what north star metric would you use?,🟢,P2,NSM + KPI Ladder,Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard,Metrics definition
2814,You're a PM for Meta's Verified Badge. Why would Meta build this product and how would you set goals and success metrics for it?,🟢,P2,NSM + KPI Ladder,Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard,Metrics definition
2815,You're a PM for Meta. Design a product for group travel.,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Product design
